ID,name,birth,phone,locality
patR9Q9F8,Jeremy Johnson,10/02/1901,9204147,Southwest 
patSEB9O0,Israel Roesser,09/09/1935,8383719,Southeast
pat1FKRB0,Dorothy Hewitt,17/03/1959,8664001,South
patU6218B,Annie Dondero,21/04/1959,9489626,East
patX32ZA6,Tony Kubie,06/09/1926,9753773,Northwest
patYIEFJZ,Gregory Boone,11/05/1949,8853063,Southeast
patN8TK6X,Eric Pommer,18/07/1999,8415433,North
patT78OIO,Danny Dorn,10/06/1967,8721296,Southwest 
patMMW0XH,Jesica Jackson,10/01/1934,9423966,Southwest 
patOQS6ND,Amy King,03/07/1991,8601008,Southeast
patI9790N,Bo Nichols,21/03/1902,9816916,Northwest
patUHUZHU,Becky Cunningham,05/04/1950,8485010,Northeast
patXGZWD4,Walter Cox,19/10/1911,9590108,Northwest
patEO4E24,Ernest Martin,11/07/1937,9325346,Southwest 
patFL0FKQ,Juan Henry,20/01/1958,8896705,East
patL3HLM6,Charles Mitchell,16/03/1935,9395665,Southeast
patHIF5FC,Ronald Salvadore,16/02/1934,9938172,North
patY3CRK5,Marilou George,05/11/1928,9650347,South
patUSEO0D,David Starrett,27/05/1971,8566488,Northwest
patB390P3,Carey Sleeper,27/08/2001,8065086,North
patG2FYE8,Daniel Vasquez,12/09/1949,8485292,North
patOM0NER,Martin Allen,07/11/1917,9149095,Northeast
patDJ9LNS,Jeffery Brown,26/12/1962,9361022,South
patSVE7AR,Roland Leblanc,19/03/1903,8415921,South
pat6XPZVV,Annette Lloyd,17/04/1979,9176123,East
patPVAQ22,William Johnson,12/05/1938,8843784,Southeast
patFRCLGF,Eva Kitchen,20/06/1922,9031601,North
pat5CUAPV,Sue Horner,20/04/1953,8366745,Northwest
patZE9M2F,Kandace Gonzalez,17/09/1997,9785796,East
patK9EGKG,Kevin Ashe,26/03/1916,9524121,Southeast
patU6BU9U,Tiffany Bland,18/10/1978,8139925,Northeast
patNB4X8I,Dolores Holliday,28/09/1953,8346933,Northwest
pat1W6S5N,Philip Mcvey,06/03/1993,9443104,South
patNRZBHO,Courtney Chambers,26/09/1969,9440439,Northwest
pat7X5CJ4,Ebony Carpenter,26/08/1945,8062432,North
pat35G506,Norma Sweitzer,01/05/1905,9339576,Southeast
patAL9934,Patsy Kovar,07/10/1944,9337796,East
pat0UZ7W0,Richard Morris,10/12/1930,9779929,Northwest
patZZ451L,Helen Loveless,28/07/2000,9964499,Northeast
patRVDQ30,Fred Meade,13/01/1998,9947263,Southwest 
patMD7G8E,Michael Barksdale,15/02/1931,9405097,North
patUKPPRG,Maria Beaman,24/03/2001,8523297,Northeast
pat7L8954,Stacey Hall,14/05/1957,8560142,Northwest
patT39X0F,Brian Denny,14/08/1981,9887674,West
pat1HWZGO,James Jones,17/03/1943,8138154,South
pat6YNR30,David Richardson,15/03/1969,9534580,South
pat4DTNNR,Doris Sas,05/11/1952,9670347,Southeast
patLT1AF5,Brenda Thomas,25/12/1955,9561712,North
patG1F0RQ,Barbara Hicks,24/02/1949,9697186,North
patVT30JH,Suzanne Moses,02/01/1913,8024646,West
patIX20OC,Pearl Truett,07/04/1901,8174500,Northeast
patPQ29KA,Janna Spence,04/09/1943,9704901,Northeast
patX5QWDA,Starr Yang,05/05/1952,9175692,Southwest 
pat0MFFIR,James Gutshall,02/02/1937,9946914,Northeast
patO8R1ZI,Georgie Dooley,24/09/1927,9532155,Southeast
patPZIV78,Dorothy Backus,14/01/1957,9252904,North
patAS2TJS,Jared Gorman,02/02/1902,8006271,East
patM6CFQ4,Rueben Pelter,03/03/1905,8073353,East
pat34SIQE,Brad Fernandez,25/10/1955,8423153,West
patOBTUFB,James Brenner,22/08/1963,8534336,West
patIMOIHP,Denny Monge,23/07/1945,8023937,Southeast
patEC1QJU,Mark Walters,21/03/1922,8496951,Southwest 
patLYPOR6,Orville Cook,21/05/1987,9140191,Southeast
pat47NDLA,Jerry Patterson,13/02/1938,9029808,East
patOJZMYO,Jimmy Fields,24/08/1915,8335765,Northwest
pat92UT8T,Debbie Anderson,02/01/1953,8270273,East
patOQ57H3,Daniel Dunlap,08/06/1994,9077494,West
patVUB1CZ,Dorothy Rahmani,13/07/1990,9038745,Northeast
patB0IVLN,Carey Featherston,20/03/1987,9473946,Southeast
patH1AFSG,Sylvia Alley,11/08/1912,8600410,Southeast
patG2X1UL,Therese Redding,04/01/1975,9384458,South
patQ7VA8B,Robert Griffin,24/10/1924,8114428,Southwest 
patDUSO6K,Bruce Mcmullen,24/10/1942,9878634,East
patBBGJQA,Leroy Wilson,21/11/1915,9767336,West
pat8XVIEB,Terrie Shackelford,04/04/1955,9165028,South
patAGAOYK,Gwen Baker,12/11/1919,9848645,West
patYZIFVJ,Leo Johnson,23/11/1936,8192804,Northwest
patTCH5F6,Kenneth Underwood,15/11/2002,8813942,Southeast
patAMVWQP,Maris Davis,15/02/1933,9615360,Southwest 
patN517S8,Deborah Jackson,03/12/1986,8940242,Southeast
patGX0XCU,John Hyman,10/03/1940,8805197,West
patV08NZZ,Robert Powell,14/04/1984,8505245,West
pat33OBB2,Verda Winslow,15/05/1955,8047190,Northeast
patW8ISD7,Eulah Jackson,10/12/1958,9290865,West
patLTYX5P,Janita Corke,23/12/1902,9836952,North
patWU89L1,Bradley Oshima,11/11/1946,8797661,Southwest 
pat4IN5G7,Apryl Pounds,27/07/1950,9992987,Northwest
pat62X9JK,John Reilly,03/10/2000,9858809,East
patXV8MFJ,David Judd,25/05/1948,9884356,East
pat1KE6X8,Leo Lamon,11/11/1998,8658022,West
patQMETZ5,David Ferguson,19/02/1970,8495903,South
patAYD0S3,Claudie March,16/06/1983,8229278,West
patROTV4F,Betty Worsham,18/07/1979,8983427,Northwest
patXO5GGG,Catherine Dow,15/01/1984,9195214,Southeast
patZIU4UV,Crystal Porte,05/06/1975,8329975,North
pat7EN3F5,Shirley Daddario,03/05/1999,8339002,West
patO3FN5I,Margaret Tallerico,24/02/1921,8590432,Northwest
pat54AJH2,Mary Gandara,28/12/1925,9663005,East
patSQEUDE,Kimberly Butts,03/09/1900,9986432,Southwest 
patF29NGC,John Dunkel,09/03/1926,8443615,North
pat7YVGQG,Sally Bennett,15/02/1907,8527518,East
pat5LA5PM,Elsie Crowell,10/05/1993,8846583,Southeast
patPBTOD0,Matthew Britt,12/05/1902,9525215,West
pat0RQFFZ,Kevin Davis,11/03/1925,9171471,Northeast
patNFPLG2,Leona Glenn,16/12/1914,8847240,Northeast
patOLKA7V,Mary Shones,13/12/1952,8129956,South
patFND4VW,Phyllis Mosher,06/05/1916,9478904,Northwest
patPHAVDC,Dave Potts,12/08/1971,8005136,West
pat8RLCYM,Judith Macki,23/01/1970,9165163,Northeast
patJTIITW,Frances Nevills,16/10/1916,9459933,Southeast
patLSEP9C,Sidney Mckenna,23/11/1987,8590160,Northeast
pat5R2DBW,Timothy Odom,10/10/1951,8046135,East
pat4J1NDF,Gerald Good,03/02/1989,9354126,South
patA0RE6A,Lisa Hiemstra,02/01/1900,8885599,Northwest
patDSAWJV,Paul Peterson,18/08/1953,9700733,Northwest
patNIPAAJ,Steven Silvas,01/05/1964,8827646,Northeast
patR3M2S0,Jason Menchaca,18/06/2001,9206153,Southwest 
patHSVBLD,Cynthia Cade,12/12/1977,8216824,Southeast
patCY4L14,Justin Orta,04/01/1945,8289440,North
patO69HWH,Alva Soden,21/12/1906,9137698,East
pat4R1ES9,Barbara Chenier,26/01/1935,8016771,Northeast
patGVJ487,Gonzalo Roe,06/08/1935,9835597,North
patGNO4TO,Ida Beaulieu,17/01/1913,9832206,Southeast
patB17C0R,Alice Honahni,07/06/1959,8523073,East
patVCY59Y,Holly Hovermale,15/06/1973,9500542,Southwest 
pat65PYM8,Laurie Uziel,08/05/1924,8196992,South
pat9N6FRL,Lupe Hernandez,13/10/1938,9718755,North
pat43975X,John Furnas,04/06/1981,9820373,West
patMV1ZC7,Marguerite Snow,25/06/1956,8061575,North
patCOJ91G,Peter Mcclure,01/09/1911,8877869,East
pat5TAB67,Joseph Bumgardner,13/12/1931,8715635,West
patBFKM94,Alicia Tabak,17/07/1946,9090524,South
patLTFEKV,Matthew Wagner,06/01/1924,9261613,Northwest
patY3QDIV,Juanita Stever,23/05/1921,8729401,East
pat0PKRKR,Philip Lapp,25/02/1962,9591790,Northwest
patA85WP8,Francis Padilla,06/08/1952,8590775,West
patE7G9N3,Sharon Garcia,21/12/1949,8778876,Southwest 
patR92OCD,Ian Yodis,23/11/1949,9331763,North
patMYYKHQ,Tamara Cousin,20/04/1968,8492776,Northwest
patZMRJRQ,Robert Pearman,21/12/1973,9011656,East
patMCWFHI,Sandra Newman,13/07/1905,9326715,Southeast
patRTH1LK,Tammy Nunley,02/05/1984,9525203,North
patCUV0G5,James Johnson,03/09/1988,9229673,West
pat2XKALG,Annie Huffman,12/07/1983,9818273,Southeast
patRUA0F8,Kevin Meeks,27/06/1902,9737220,South
patGXSE6I,Francis Johnson,25/09/1954,8314086,Northeast
pat4FIYWW,Thomas Alteri,13/03/1922,9084489,Northwest
patCMR5RE,Helen Joshua,06/07/1924,8541434,North
patMUX9Z8,Roger Easton,05/06/1970,9489595,Northwest
patO6DRNC,Jane Recher,13/12/1905,9339923,South
patEQ5VG4,Damon Kaufmann,13/07/1992,8888683,Southeast
pat8FWU80,Terry Burgess,01/01/2000,9520945,West
pat29AHR1,Loretta Chew,09/03/1934,8115532,Southwest 
patSVA49Z,Daniel Huggins,25/03/1947,9928040,North
pat17T4Y5,Paul Gonzalez,21/03/1930,8499341,East
patA3R8C0,David Chandler,15/03/1911,9917953,East
patVZJXXP,Ann Gonzales,01/03/1953,8401597,Northwest
patEAGD05,Ian Keitsock,03/07/1911,9602391,Northeast
patRUEITD,Carolyn Bell,26/03/1909,9870376,Southwest 
patN4ME47,Mercedes Fox,13/06/1925,9110698,Southwest 
patIU619P,Jane Garcia,20/03/2003,8022862,South
pat2GHU39,John Hines,11/09/1931,8552381,North
patA29W5A,Ben Lewis,27/06/1969,9442283,South
patRIUUSU,Vincent Koch,06/06/1989,9832485,Northwest
patNB1N49,Bobby Kamaka,14/09/2000,8983868,Northeast
patREMX9M,Joshua Mcabee,03/10/1946,9417058,North
patXXH2RR,Shad Johnson,18/09/2002,8952080,Southeast
patURVUGY,Douglas Manzo,18/06/1972,8139174,North
pat99ZAXN,James Feezell,01/03/1944,8443043,North
pat57HHAD,Kevin Burke,26/03/1923,9349241,North
patPKWSSW,Jeanette Dietlin,10/03/1923,9789926,Southwest 
patF9ADLO,Joann Huhman,28/09/1933,8525723,Southwest 
patX8H76L,Susan Malone,18/06/1974,9945708,East
patA2C4K7,Bryon Hobbs,08/07/1947,8145435,Southeast
pat2RW2LB,Joyce Wilson,10/05/1903,8544708,Northeast
patK0ZO4J,Marguerite Tovar,11/07/1988,9929187,South
patHXZ4OC,Lucile Thom,18/01/1968,9711439,Southeast
patCY6Y3A,Clifford Kennett,01/04/1950,9112434,West
patSXT8HX,Dean Rice,21/01/1982,8074506,West
patW4AVHD,Linda Franzoni,12/08/1917,8096704,Northeast
patR9QQU4,Lillian Crook,22/09/1991,9839407,North
patFFZX49,Jeanette Martin,12/04/1993,8586269,East
patPGN24Y,Dawn Nicholas,21/05/1990,9649606,Southeast
patVNU7LG,Michael Willis,17/02/1977,9500748,East
patWXBSPI,Robert Crass,18/02/1919,8153348,Northeast
patTGMVW2,Alva Fulton,24/05/1941,9835340,West
patIL8EEY,Joshua Knight,19/06/1941,9845683,East
patX027XN,Colin Frost,23/03/1907,9502580,South
patI9J9JL,Shelia Mcnett,10/08/1925,8758974,West
pat130U0K,Jeffrey Fox,02/12/1952,8376728,North
patYCR96X,Kimberly Fernandez,10/09/1964,8573579,East
pat6DPAJY,Nancy Terry,23/12/1979,9196979,West
patG2ITEU,Carole Eggleston,27/12/1936,9961865,Northeast
patLYAYYZ,Francis Limon,26/05/1918,8165395,North
pat8ULLNT,Susan Ryan,20/03/1984,8400275,Southwest 
pat6EZ9LM,Andrea Restivo,23/09/1950,9453575,Southwest 
patFB3Y0T,Gail Englehardt,24/07/1937,9533327,Northwest
patAF1T59,Evelyn Tao,21/04/1926,8144240,West
patNE8M1L,Valerie Milbourn,15/09/1916,9900533,Southeast
patGMMWTX,Melissa Yeldell,11/12/1901,9559073,Northeast
patFJO3PV,Michael Gonzalez,08/01/1926,8498973,Northwest
patYC0NN8,Stella Bell,19/05/2002,8942153,Southeast
patU8UG07,Mary Bell,01/05/1932,8533069,East
patGA2NMY,Frank Ivan,26/11/1978,8689725,South
patDR0Y9E,Maryann Turnbull,14/08/1955,9404815,Northeast
pat9ULGT2,Ronald Thomas,14/01/1927,9722798,Northwest
pat7QBKD7,Evelyn Traino,25/05/1929,9059820,Northeast
patRJLZ6S,Jesus Blackwell,28/12/1947,8948815,Northeast
pat1VBAN1,Lester Barsness,14/10/1956,9035787,East
pat0YT29T,Richard Braden,21/07/1956,9254401,South
patPLH974,Lester Adams,05/01/1987,8291834,Southwest 
patOFHDM1,Douglas Ellis,09/06/1926,8813563,South
patQAIA2T,Dora Simon,13/06/1987,8100905,Southwest 
pat7FSGBE,Peter Phelps,16/06/1911,9283915,West
patLQ7HGT,Alejandro Ingram,24/07/1900,8581569,North
patLJYEXY,Nathan Henry,28/04/1906,9358524,Southeast
patY856KM,Robert Kemmis,18/06/1935,9418143,Northeast
patIY1XBV,Kevin Otto,06/06/1933,8514758,North
patUS6XX2,Jacqui Yong,05/03/1958,8672673,East
patFAXVVO,Myra Mcmorris,24/05/1960,9561979,South
patCEMKOB,John Roberson,06/09/1997,9840017,Northeast
patBMLNSG,Anna Bernhardt,08/04/1915,8635357,Northeast
patCM4UKG,Pete Robinson,23/04/1979,9898621,Southeast
pat8HR9E4,Dolores Hoover,18/07/1984,8653379,Northwest
patAWFXP8,Robert Santana,07/04/1992,8696952,Northeast
patZ142F1,April Mcqueen,24/01/1928,8610782,West
patATBSOD,Richard Howard,06/08/1905,8797303,Northwest
patWVAUSB,Mary Shearer,02/12/2002,8551654,Southeast
patG643BS,Kimberly Homa,22/01/1978,9164933,South
patQTLNYV,Jarrod Genco,23/03/1991,8233813,Southeast
patKE8MOL,James Baez,09/06/1901,8018916,South
patG6MBO0,Jessica Ghent,22/03/1934,8938053,North
pat8CDWK0,Boyd Duppstadt,16/10/1943,9018909,Southeast
patFK118Q,Anne Hoage,03/09/1926,8195677,Southeast
patAW5Z6V,Robert Ristau,04/08/1930,9845038,South
patS82IGZ,Lillian Parker,06/01/1947,9195310,Southwest 
patGPLBS4,Ella Heuer,05/08/1969,9930535,East
patOAWZI1,Guy Waston,05/02/1909,8326231,Southwest 
patXMBJ8C,James Beckman,22/11/1996,9595260,Northwest
patTQ5EFX,Ricky Shepherd,13/08/1989,9768527,South
patGVEPZJ,Thomas Jenkins,06/05/1905,8657539,South
patQ51AQG,Jeniffer Vasquez,09/05/1933,9158475,Southeast
pat8OYPGD,Lynda Markowitz,12/01/1953,9408358,Southeast
patCKYXZM,Christopher Booker,17/12/1988,9240591,Northwest
patRM07MW,Michael Barcia,28/10/1968,8824229,North
pat7FUYZ5,Alma Johnson,27/05/1911,8595676,Northwest
patQABDIM,Arthur Andrews,11/10/1979,8886845,Southeast
pat1VMCCB,Lisa Terry,08/09/1972,9747094,Northwest
pat29L18V,Jesse Weaver,11/11/1952,8369436,East
pat4MPW5T,Michael Tipton,04/05/2001,8005832,South
patVX5ZSW,Joe Thomas,18/03/1970,8143301,South
patU8M7QM,Maria Temples,12/07/1904,9965292,West
patPJYAUK,Daryl Long,20/09/1929,9506018,Southeast
patXW1568,Frank Olson,21/08/1963,9285736,South
patY4SJH8,Christian Medina,25/10/1971,9228422,Southwest 
patNLZV37,Kevin Germy,14/09/1932,8843877,Northwest
pat5VQI10,April Boling,19/08/1931,9322337,West
patI4C8TN,Keith Michael,07/06/1921,9433311,Southeast
patWH0XT2,Doris Ellison,19/03/1993,9329753,Northeast
patI7OZ1O,Richard Tigner,14/11/1936,9280792,South
patINZ4VX,Michael Murray,18/10/1977,8752357,Northwest
pat18O7EO,Alma Rosas,05/11/1998,9077026,Southwest 
patFRBJYI,Sylvia Pitre,09/08/1948,9417777,Southwest 
patDCLV00,Michael Fitzpatrick,03/06/1936,8046549,Southwest 
patAMGEQR,Samuel Seiler,18/01/1982,8687698,North
pat3BCY64,Roberto King,08/09/1948,9903040,East
pat18W1KB,Grace Loman,21/03/1936,9490356,East
pat77X6BC,Leslie Hutchison,25/04/1989,8412048,Northeast
patQ9G2KU,Kara Willie,03/06/1975,8838467,Southeast
pat93H38Y,Joseph Burkett,06/01/1957,8069081,North
patQ05N7X,Pamela Keala,17/05/1940,8323471,Northwest
pat09RQ42,Roger John,11/09/1972,9414248,Southwest 
patQ3QGNT,Jose Morgan,07/12/1929,9222467,Southeast
pat56B6JT,James Castilo,21/08/1988,9253877,East
patWD6DJO,Edna Joslin,02/07/1999,9278587,East
pat84V7PX,Jean Soders,23/04/1957,9264402,North
patWOSTSA,Karen Henriquez,28/11/1923,8007710,North
patE9K920,Allan Thomas,09/03/1936,8060829,South
patG4EMEM,Kristie Finseth,27/05/1975,8192691,Southwest 
pat2R1UNG,Michael Wiggins,28/03/1920,8471705,Southeast
patICXPC8,Lauretta Brigham,11/08/1984,9263901,Northeast
patVKOX4M,James Gross,16/01/2001,8061072,Southeast
pat9X8M71,Douglas Cooper,20/02/1913,9784771,North
patZLH9YH,Freddie Weisser,23/02/1992,8485522,Northeast
patURH0WJ,Marian Hunt,06/04/1900,9295238,East
patJ4T3F3,Kathryn Bonilla,21/09/1915,9712191,East
patFWQ4NP,Kenneth Lee,28/05/1967,8947766,Southeast
patFMZUJX,Lisa Thompson,19/10/1926,9965625,South
patLJMJ2G,Anna Haynes,11/06/1902,8530791,Northeast
patWQEV24,Lisa Soto,01/06/1949,9506197,Southeast
patJGQ1JU,Alice Roach,15/07/1921,8686429,North
pat6VZSYS,Gary Birdsall,12/07/1920,9473905,South
pat0800ZY,Robert Stone,21/01/1919,9672682,East
patDSXL6U,Tessie Brazil,15/01/1965,8631691,Southwest 
pat4LAD8I,John Warren,27/02/1908,8158819,East
pat7D9A7D,Rosario Tellier,21/12/1975,9204522,Northwest
pat3FFFXY,Angela Mccollum,27/04/1947,8958784,Northwest
patVC96YQ,Shawn Reynolds,18/02/1913,9073071,Southeast
patK7X2B1,Rick Sprouse,03/06/1966,8455240,Southeast
patZSS6D2,Crystal Silva,13/01/1908,9393167,West
patS7LLW9,Michael Askew,09/02/1998,9603952,Northwest
pat9A097Y,Todd Thompson,08/09/1969,9980929,East
patZPX86C,Jeremiah Allen,28/04/1954,8680757,Northwest
patYJOMNK,Vivian Sliwa,19/02/1966,9084904,East
pat4PKX1X,Benjamin Henry,11/08/1900,9591751,Southeast
patY174V0,Frances Seifert,08/02/1980,8940244,Southwest 
patQZ95OY,Maurine Teal,15/03/1922,9090820,Southeast
pat2W1MOL,Kevin Campbell,27/11/1981,8420145,North
pat2LUOGG,Helen Koch,03/12/1905,8489814,Southwest 
patMBI9OY,Brendan Warren,07/04/1910,9437664,Southeast
pat354CA4,Shaunna Corcoran,22/10/1913,9668407,Southwest 
